DayOfWeek,Date,DepTime,ArrTime,CRSArrTime,UniqueCarrier,Airline,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Org_Airport,Dest,Dest_Airport,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepHour,DepMinute,DepDatetime,Month,Hour,Route,DepDateTime,ArrDateTime,CRSArrDateTime
Monday,2019-02-11,1554,1759,1706,US,US Airways Inc.,1972,N577US,125,131,84,53,59,CLT,Charlotte Douglas International Airport,EWR,Newark Liberty International Airport,529,4,37,0,N,0,0,0,53,0,0,15,54,2019-02-11 15:54:00,2,15,CLT-EWR,2019-02-11 15:54:00,2019-02-11 17:59:00,2019-02-11 17:06:00
Wednesday,2019-02-20,2114,2336,2245,WN,Southwest Airlines Co.,375,N746SW,82,85,73,51,54,ABQ,Albuquerque International Sunport,DAL,Dallas Love Field,580,3,6,0,N,0,0,0,0,0,51,21,14,2019-02-20 21:14:00,2,21,ABQ-DAL,2019-02-20 21:14:00,2019-02-20 23:36:00,2019-02-20 22:45:00
Thursday,2019-01-24,1141,1523,1445,DL,Delta Air Lines Inc.,1014,N916DL,222,210,198,38,26,BOS,Gen. Edward Lawrence Logan International Airport,FLL,Fort Lauderdale-Hollywood International Airport,1237,8,16,0,N,0,0,0,14,0,24,11,41,2019-01-24 11:41:00,1,11,BOS-FLL,2019-01-24 11:41:00,2019-01-24 15:23:00,2019-01-24 14:45:00
Friday,2019-02-08,1055,1205,1125,MQ,American Eagle Airlines Inc.,3985,N664MS,70,70,53,40,40,ORD,Chicago O'Hare International Airport,RST,Rochester International Airport,268,2,15,0,N,0,0,0,1,0,39,10,55,2019-02-08 10:55:00,2,10,ORD-RST,2019-02-08 10:55:00,2019-02-08 12:05:00,2019-02-08 11:25:00
Wednesday,2019-05-22,1402,1518,1420,MQ,American Eagle Airlines Inc.,3478,N508AE,76,65,60,58,47,AMA,Rick Husband Amarillo International Airport,DFW,Dallas/Fort Worth International Airport,313,11,5,0,N,0,0,0,11,0,47,14,2,2019-05-22 14:02:00,5,14,AMA-DFW,2019-05-22 14:02:00,2019-05-22 15:18:00,2019-05-22 14:20:00
Monday,2019-03-11,1214,1345,1305,EV,Atlantic Southeast Airlines,4494,N753EV,91,96,66,40,45,MLB,Melbourne International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,443,14,11,0,N,0,40,0,0,0,0,12,14,2019-03-11 12:14:00,3,12,MLB-ATL,2019-03-11 12:14:00,2019-03-11 13:45:00,2019-03-11 13:05:00
Tuesday,2019-02-05,1048,1153,1110,WN,Southwest Airlines Co.,3241,N380SW,65,65,54,43,43,STL,St. Louis International Airport at Lambert Field,LIT,Bill and Hillary Clinton National Airport (Adams Field),296,3,8,0,N,0,1,0,0,0,42,10,48,2019-02-05 10:48:00,2,10,STL-LIT,2019-02-05 10:48:00,2019-02-05 11:53:00,2019-02-05 11:10:00
Saturday,2019-03-30,1242,1550,1445,WN,Southwest Airlines Co.,970,N404WN,188,165,144,65,42,MCO,Orlando International Airport,BDL,Bradley International Airport,1050,6,38,0,N,0,42,0,23,0,0,12,42,2019-03-30 12:42:00,3,12,MCO-BDL,2019-03-30 12:42:00,2019-03-30 15:50:00,2019-03-30 14:45:00
Monday,2019-03-18,1601,1824,1610,AA,American Airlines Inc.,297,N643AA,323,335,303,134,146,MCO,Orlando International Airport,LAX,Los Angeles International Airport,2217,8,12,0,N,0,0,0,0,0,134,16,1,2019-03-18 16:01:00,3,16,MCO-LAX,2019-03-18 16:01:00,2019-03-18 18:24:00,2019-03-18 16:10:00
Sunday,2019-03-31,1027,1245,1215,WN,Southwest Airlines Co.,2208,N762SW,198,185,177,30,17,ABQ,Albuquerque International Sunport,SEA,Seattle-Tacoma International Airport,1180,7,14,0,N,0,6,0,13,0,11,10,27,2019-03-31 10:27:00,3,10,ABQ-SEA,2019-03-31 10:27:00,2019-03-31 12:45:00,2019-03-31 12:15:00
Friday,2019-04-26,1659,1937,1755,WN,Southwest Airlines Co.,1167,N304SW,158,175,139,102,119,BDL,Bradley International Airport,MCO,Orlando International Airport,1050,8,11,0,N,0,92,0,0,0,10,16,59,2019-04-26 16:59:00,4,16,BDL-MCO,2019-04-26 16:59:00,2019-04-26 19:37:00,2019-04-26 17:55:00
Saturday,2019-03-09,1749,2229,2000,AA,American Airlines Inc.,740,N201AA,220,205,170,149,134,DFW,Dallas/Fort Worth International Airport,LGA,LaGuardia Airport (Marine Air Terminal),1389,40,10,0,N,0,0,0,35,0,114,17,49,2019-03-09 17:49:00,3,17,DFW-LGA,2019-03-09 17:49:00,2019-03-09 22:29:00,2019-03-09 20:00:00
Saturday,2019-06-15,1531,1717,1639,AA,American Airlines Inc.,337,N519AA,166,160,118,38,32,LGA,LaGuardia Airport (Marine Air Terminal),ORD,Chicago O'Hare International Airport,733,16,32,0,N,0,0,0,10,0,28,15,31,2019-06-15 15:31:00,6,15,LGA-ORD,2019-06-15 15:31:00,2019-06-15 17:17:00,2019-06-15 16:39:00
Monday,2019-01-21,1024,1434,1345,AA,American Airlines Inc.,1098,N432AA,190,200,161,49,59,PHX,Phoenix Sky Harbor International Airport,ORD,Chicago O'Hare International Airport,1440,9,20,0,N,0,0,0,49,0,0,10,24,2019-01-21 10:24:00,1,10,PHX-ORD,2019-01-21 10:24:00,2019-01-21 14:34:00,2019-01-21 13:45:00
Sunday,2019-01-20,1909,2146,2046,UA,United Air Lines Inc.,624,N833UA,97,106,75,60,69,ORD,Chicago O'Hare International Airport,DCA,Ronald Reagan Washington National Airport,612,3,19,0,N,0,0,0,0,0,60,19,9,2019-01-20 19:09:00,1,19,ORD-DCA,2019-01-20 19:09:00,2019-01-20 21:46:00,2019-01-20 20:46:00
Sunday,2019-03-03,1911,2124,2050,WN,Southwest Airlines Co.,2530,N397SW,133,145,115,34,46,SEA,Seattle-Tacoma International Airport,LAS,McCarran International Airport,866,4,14,0,N,0,30,0,0,0,4,19,11,2019-03-03 19:11:00,3,19,SEA-LAS,2019-03-03 19:11:00,2019-03-03 21:24:00,2019-03-03 20:50:00
Thursday,2019-06-27,1219,1254,1220,MQ,American Eagle Airlines Inc.,4161,N933JN,95,70,46,34,9,DTW,Detroit Metropolitan Airport,ORD,Chicago O'Hare International Airport,235,9,40,0,N,0,0,0,29,0,5,12,19,2019-06-27 12:19:00,6,12,DTW-ORD,2019-06-27 12:19:00,2019-06-27 12:54:00,2019-06-27 12:20:00
Tuesday,2019-02-05,804,917,856,US,US Airways Inc.,282,N164AW,133,121,100,21,9,PHX,Phoenix Sky Harbor International Airport,SJC,Norman Y. Mineta San José International Airport,621,8,25,0,N,0,9,0,12,0,0,8,4,2019-02-05 08:04:00,2,8,PHX-SJC,2019-02-05 08:04:00,2019-02-05 09:17:00,2019-02-05 08:56:00
Saturday,2019-03-30,2047,2207,2133,EV,Atlantic Southeast Airlines,4496,N881AS,80,83,55,34,37,ATL,Hartsfield-Jackson Atlanta International Airport,ROA,Roanoke Regional Airport (Woodrum Field),357,7,18,0,N,0,17,17,0,0,0,20,47,2019-03-30 20:47:00,3,20,ATL-ROA,2019-03-30 20:47:00,2019-03-30 22:07:00,2019-03-30 21:33:00
Tuesday,2019-04-09,908,1017,925,WN,Southwest Airlines Co.,1489,N336SW,69,75,53,52,58,OAK,Oakland International Airport,ONT,Ontario International Airport,361,4,12,0,N,0,52,0,0,0,0,9,8,2019-04-09 09:08:00,4,9,OAK-ONT,2019-04-09 09:08:00,2019-04-09 10:17:00,2019-04-09 09:25:00
Thursday,2019-06-27,2303,19,2259,F9,Frontier Airlines Inc.,419,N929FR,136,144,119,80,88,DEN,Denver International Airport,LAX,Los Angeles International Airport,862,6,11,0,N,0,0,0,0,0,80,23,3,2019-06-27 23:03:00,6,23,DEN-LAX,2019-06-27 23:03:00,2019-06-28 00:19:00,2019-06-28 22:59:00
Sunday,2019-02-17,1855,2108,2040,WN,Southwest Airlines Co.,632,N903WN,133,145,119,28,40,MCO,Orlando International Airport,ISP,Long Island MacArthur Airport,972,3,11,0,N,0,0,0,0,0,28,18,55,2019-02-17 18:55:00,2,18,MCO-ISP,2019-02-17 18:55:00,2019-02-17 21:08:00,2019-02-17 20:40:00
Thursday,2019-03-07,2044,2251,2228,AS,Alaska Airlines Inc.,396,N958AS,127,123,110,23,19,SEA,Seattle-Tacoma International Airport,OAK,Oakland International Airport,671,4,13,0,N,0,19,0,4,0,0,20,44,2019-03-07 20:44:00,3,20,SEA-OAK,2019-03-07 20:44:00,2019-03-07 22:51:00,2019-03-07 22:28:00
Monday,2019-03-25,1555,2345,2330,AA,American Airlines Inc.,164,N5CMAA,290,310,272,15,35,LAX,Los Angeles International Airport,EWR,Newark Liberty International Airport,2454,5,13,0,N,0,15,0,0,0,0,15,55,2019-03-25 15:55:00,3,15,LAX-EWR,2019-03-25 15:55:00,2019-03-25 23:45:00,2019-03-25 23:30:00
Friday,2019-04-12,1156,1429,1351,US,US Airways Inc.,881,N405US,153,126,100,38,11,CLT,Charlotte Douglas International Airport,FLL,Fort Lauderdale-Hollywood International Airport,631,3,50,0,N,0,11,0,27,0,0,11,56,2019-04-12 11:56:00,4,11,CLT-FLL,2019-04-12 11:56:00,2019-04-12 14:29:00,2019-04-12 13:51:00
Tuesday,2019-06-11,1336,1435,1355,WN,Southwest Airlines Co.,3572,N641SW,59,60,47,40,41,PDX,Portland International Airport,GEG,Spokane International Airport,279,4,8,0,N,0,0,0,0,0,40,13,36,2019-06-11 13:36:00,6,13,PDX-GEG,2019-06-11 13:36:00,2019-06-11 14:35:00,2019-06-11 13:55:00
Monday,2019-01-28,1522,1759,1700,WN,Southwest Airlines Co.,3072,N265WN,97,105,81,59,67,LAX,Los Angeles International Airport,SLC,Salt Lake City International Airport,590,5,11,0,N,0,0,0,39,0,20,15,22,2019-01-28 15:22:00,1,15,LAX-SLC,2019-01-28 15:22:00,2019-01-28 17:59:00,2019-01-28 17:00:00
Monday,2019-01-07,1737,2005,1945,WN,Southwest Airlines Co.,2969,N631SW,88,95,79,20,27,ABQ,Albuquerque International Sunport,DAL,Dallas Love Field,580,3,6,0,N,0,4,0,0,0,16,17,37,2019-01-07 17:37:00,1,17,ABQ-DAL,2019-01-07 17:37:00,2019-01-07 20:05:00,2019-01-07 19:45:00
Thursday,2019-03-21,1636,1741,1543,EV,Atlantic Southeast Airlines,4882,N878AS,65,78,52,118,131,GNV,Gainesville Regional Airport,ATL,Hartsfield-Jackson Atlanta International Airport,300,9,4,0,N,0,118,0,0,0,0,16,36,2019-03-21 16:36:00,3,16,GNV-ATL,2019-03-21 16:36:00,2019-03-21 17:41:00,2019-03-22 15:43:00
Friday,2019-05-03,1836,2016,1916,B6,JetBlue Airways,1108,N203JB,100,106,61,60,66,RDU,Raleigh-Durham International Airport,JFK,John F. Kennedy International Airport (New York International Airport),426,8,31,0,N,0,0,0,60,0,0,18,36,2019-05-03 18:36:00,5,18,RDU-JFK,2019-05-03 18:36:00,2019-05-03 20:16:00,2019-05-03 19:16:00
Monday,2019-06-03,1255,1300,1245,EV,Atlantic Southeast Airlines,4752,N835AS,65,71,45,15,21,ATL,Hartsfield-Jackson Atlanta International Airport,MOB,Mobile Regional Airport,302,2,18,0,N,0,15,0,0,0,0,12,55,2019-06-03 12:55:00,6,12,ATL-MOB,2019-06-03 12:55:00,2019-06-03 13:00:00,2019-06-04 12:45:00
Sunday,2019-03-03,1120,1220,1115,WN,Southwest Airlines Co.,9,N646SW,60,50,35,65,55,HOU,William P. Hobby Airport,CRP,Corpus Christi International Airport,187,3,22,0,N,0,0,0,10,0,55,11,20,2019-03-03 11:20:00,3,11,HOU-CRP,2019-03-03 11:20:00,2019-03-03 12:20:00,2019-03-04 11:15:00
Sunday,2019-02-17,1737,1944,1855,AA,American Airlines Inc.,1809,N483AA,187,190,167,49,52,BOS,Gen. Edward Lawrence Logan International Airport,STL,St. Louis International Airport at Lambert Field,1046,4,16,0,N,0,0,41,0,0,8,17,37,2019-02-17 17:37:00,2,17,BOS-STL,2019-02-17 17:37:00,2019-02-17 19:44:00,2019-02-17 18:55:00
Friday,2019-01-04,1817,1931,1820,WN,Southwest Airlines Co.,835,N231WN,74,75,55,71,72,OAK,Oakland International Airport,ONT,Ontario International Airport,361,6,13,0,N,0,0,0,0,0,71,18,17,2019-01-04 18:17:00,1,18,OAK-ONT,2019-01-04 18:17:00,2019-01-04 19:31:00,2019-01-04 18:20:00
Friday,2019-02-08,1733,1907,1745,WN,Southwest Airlines Co.,36,N693SW,94,85,69,82,73,DAL,Dallas Love Field,MCI,Kansas City International Airport,461,5,20,0,N,0,27,0,9,0,46,17,33,2019-02-08 17:33:00,2,17,DAL-MCI,2019-02-08 17:33:00,2019-02-08 19:07:00,2019-02-08 17:45:00
Monday,2019-06-03,1402,1728,1515,AA,American Airlines Inc.,86,N7BMAA,206,135,110,133,62,DFW,Dallas/Fort Worth International Airport,ORD,Chicago O'Hare International Airport,802,16,80,0,N,0,0,0,133,0,0,14,2,2019-06-03 14:02:00,6,14,DFW-ORD,2019-06-03 14:02:00,2019-06-03 17:28:00,2019-06-03 15:15:00
Friday,2019-03-29,1951,2239,1804,AS,Alaska Airlines Inc.,518,N587AS,168,156,143,275,263,SEA,Seattle-Tacoma International Airport,SAN,San Diego International Airport (Lindbergh Field),1050,2,23,0,N,0,263,0,12,0,0,19,51,2019-03-29 19:51:00,3,19,SEA-SAN,2019-03-29 19:51:00,2019-03-29 22:39:00,2019-03-30 18:04:00
Friday,2019-05-10,1448,1713,1658,EV,Atlantic Southeast Airlines,4586,N876AS,85,93,67,15,23,LIT,Bill and Hillary Clinton National Airport (Adams Field),ATL,Hartsfield-Jackson Atlanta International Airport,453,8,10,0,N,0,0,15,0,0,0,14,48,2019-05-10 14:48:00,5,14,LIT-ATL,2019-05-10 14:48:00,2019-05-10 17:13:00,2019-05-10 16:58:00
Wednesday,2019-05-15,1903,2229,2202,UA,United Air Lines Inc.,514,N348UA,146,142,111,27,23,ORD,Chicago O'Hare International Airport,JAX,Jacksonville International Airport,865,7,28,0,N,0,23,0,4,0,0,19,3,2019-05-15 19:03:00,5,19,ORD-JAX,2019-05-15 19:03:00,2019-05-15 22:29:00,2019-05-15 22:02:00
Tuesday,2019-01-08,2132,2320,2305,WN,Southwest Airlines Co.,1687,N344SW,108,125,91,15,32,SEA,Seattle-Tacoma International Airport,OAK,Oakland International Airport,671,5,12,0,N,0,0,0,0,0,15,21,32,2019-01-08 21:32:00,1,21,SEA-OAK,2019-01-08 21:32:00,2019-01-08 23:20:00,2019-01-08 23:05:00
Tuesday,2019-02-19,1351,1602,1436,AS,Alaska Airlines Inc.,378,N796AS,131,131,114,86,86,SEA,Seattle-Tacoma International Airport,SFO,San Francisco International Airport,679,4,13,0,N,0,0,0,86,0,0,13,51,2019-02-19 13:51:00,2,13,SEA-SFO,2019-02-19 13:51:00,2019-02-19 16:02:00,2019-02-19 14:36:00
Saturday,2019-02-02,1254,1427,1335,MQ,American Eagle Airlines Inc.,4020,N941LT,153,120,97,52,19,ROC,Greater Rochester International Airport,ORD,Chicago O'Hare International Airport,528,42,14,0,N,0,2,0,33,0,17,12,54,2019-02-02 12:54:00,2,12,ROC-ORD,2019-02-02 12:54:00,2019-02-02 14:27:00,2019-02-02 13:35:00
Monday,2019-06-03,2223,153,2235,MQ,American Eagle Airlines Inc.,4205,N654AE,150,125,97,198,173,ORD,Chicago O'Hare International Airport,BDL,Bradley International Airport,783,3,50,0,N,0,0,0,25,0,173,22,23,2019-06-03 22:23:00,6,22,ORD-BDL,2019-06-03 22:23:00,2019-06-04 01:53:00,2019-06-03 22:35:00
Friday,2019-01-11,903,1344,1300,AS,Alaska Airlines Inc.,851,N584AS,401,380,380,44,23,SEA,Seattle-Tacoma International Airport,HNL,Honolulu International Airport,2677,4,17,0,N,0,23,0,21,0,0,9,3,2019-01-11 09:03:00,1,9,SEA-HNL,2019-01-11 09:03:00,2019-01-11 13:44:00,2019-01-11 13:00:00
Friday,2019-05-10,1311,2124,2041,UA,United Air Lines Inc.,862,N544UA,313,296,269,43,26,LAX,Los Angeles International Airport,IAD,Washington Dulles International Airport,2288,7,37,0,N,0,0,0,22,0,21,13,11,2019-05-10 13:11:00,5,13,LAX-IAD,2019-05-10 13:11:00,2019-05-10 21:24:00,2019-05-10 20:41:00
Friday,2019-02-01,2110,51,2301,DL,Delta Air Lines Inc.,1581,N652DL,341,351,279,110,120,JFK,John F. Kennedy International Airport (New York International Airport),SLC,Salt Lake City International Airport,1989,7,55,0,N,0,110,0,0,0,0,21,10,2019-02-01 21:10:00,2,21,JFK-SLC,2019-02-01 21:10:00,2019-02-02 00:51:00,2019-02-01 23:01:00
Tuesday,2019-03-26,1119,1258,1230,MQ,American Eagle Airlines Inc.,4889,N720AE,99,95,67,28,24,CLE,Cleveland Hopkins International Airport,LGA,LaGuardia Airport (Marine Air Terminal),418,7,25,0,N,0,0,0,4,0,24,11,19,2019-03-26 11:19:00,3,11,CLE-LGA,2019-03-26 11:19:00,2019-03-26 12:58:00,2019-03-26 12:30:00
Friday,2019-02-15,1848,2056,2040,MQ,American Eagle Airlines Inc.,4860,N723AE,128,125,90,16,13,LGA,LaGuardia Airport (Marine Air Terminal),FNT,Bishop International Airport,530,6,32,0,N,0,13,0,3,0,0,18,48,2019-02-15 18:48:00,2,18,LGA-FNT,2019-02-15 18:48:00,2019-02-15 20:56:00,2019-02-15 20:40:00
Friday,2019-04-19,955,1504,1400,AA,American Airlines Inc.,1134,N464AA,189,180,150,64,55,SAN,San Diego International Airport (Lindbergh Field),DFW,Dallas/Fort Worth International Airport,1171,17,22,0,N,0,55,0,9,0,0,9,55,2019-04-19 09:55:00,4,9,SAN-DFW,2019-04-19 09:55:00,2019-04-19 15:04:00,2019-04-19 14:00:00
Sunday,2019-02-03,1304,1654,1630,UA,United Air Lines Inc.,37,N546UA,350,335,309,24,9,SFO,San Francisco International Airport,OGG,Kahului Airport,2338,6,35,0,N,0,9,0,15,0,0,13,4,2019-02-03 13:04:00,2,13,SFO-OGG,2019-02-03 13:04:00,2019-02-03 16:54:00,2019-02-03 16:30:00
Wednesday,2019-01-16,1302,1522,1453,UA,United Air Lines Inc.,820,N342UA,140,123,119,29,12,SFO,San Francisco International Airport,SEA,Seattle-Tacoma International Airport,679,3,18,0,N,0,0,0,18,0,11,13,2,2019-01-16 13:02:00,1,13,SFO-SEA,2019-01-16 13:02:00,2019-01-16 15:22:00,2019-01-16 14:53:00
Monday,2019-02-25,1010,1151,1130,MQ,American Eagle Airlines Inc.,3841,N819AE,101,110,84,21,30,DFW,Dallas/Fort Worth International Airport,DSM,Des Moines International Airport,624,3,14,0,N,0,21,0,0,0,0,10,10,2019-02-25 10:10:00,2,10,DFW-DSM,2019-02-25 10:10:00,2019-02-25 11:51:00,2019-02-25 11:30:00
Saturday,2019-04-27,1551,2053,2025,AA,American Airlines Inc.,388,N558AA,182,180,163,28,26,BUR,Bob Hope Airport (Hollywood Burbank Airport),DFW,Dallas/Fort Worth International Airport,1231,10,9,0,N,0,0,0,2,0,26,15,51,2019-04-27 15:51:00,4,15,BUR-DFW,2019-04-27 15:51:00,2019-04-27 20:53:00,2019-04-27 20:25:00
Tuesday,2019-05-14,1052,1204,1050,MQ,American Eagle Airlines Inc.,3586,N673AE,72,70,57,74,72,MAF,Midland International Airport,DFW,Dallas/Fort Worth International Airport,309,5,10,0,N,0,0,9,2,0,63,10,52,2019-05-14 10:52:00,5,10,MAF-DFW,2019-05-14 10:52:00,2019-05-14 12:04:00,2019-05-15 10:50:00
Wednesday,2019-01-09,2014,2152,2135,AA,American Airlines Inc.,2019,N293AA,158,170,144,17,29,LGA,LaGuardia Airport (Marine Air Terminal),STL,St. Louis International Airport at Lambert Field,887,3,11,0,N,0,0,0,0,0,17,20,14,2019-01-09 20:14:00,1,20,LGA-STL,2019-01-09 20:14:00,2019-01-09 21:52:00,2019-01-09 21:35:00
Monday,2019-03-25,1255,1513,1451,AS,Alaska Airlines Inc.,95,N579AS,198,215,180,22,39,SEA,Seattle-Tacoma International Airport,ANC,Ted Stevens Anchorage International Airport,1449,4,14,0,N,0,0,0,0,0,22,12,55,2019-03-25 12:55:00,3,12,SEA-ANC,2019-03-25 12:55:00,2019-03-25 15:13:00,2019-03-25 14:51:00
Tuesday,2019-05-07,1238,1330,1219,OO,Skywest Airlines Inc.,5939,N917SW,52,67,36,71,86,CID,The Eastern Iowa Airport,ORD,Chicago O'Hare International Airport,196,5,11,0,N,0,0,0,71,0,0,12,38,2019-05-07 12:38:00,5,12,CID-ORD,2019-05-07 12:38:00,2019-05-07 13:30:00,2019-05-08 12:19:00
Monday,2019-06-24,1950,2105,2007,OO,Skywest Airlines Inc.,5576,N583SW,75,85,61,58,68,SFO,San Francisco International Airport,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),262,1,13,0,N,0,58,0,0,0,0,19,50,2019-06-24 19:50:00,6,19,SFO-SBA,2019-06-24 19:50:00,2019-06-24 21:05:00,2019-06-24 20:07:00
Wednesday,2019-03-27,2354,122,2247,UA,United Air Lines Inc.,1227,N349UA,148,141,131,155,148,DEN,Denver International Airport,SAN,San Diego International Airport (Lindbergh Field),853,2,15,0,N,0,0,0,12,0,143,23,54,2019-03-27 23:54:00,3,23,DEN-SAN,2019-03-27 23:54:00,2019-03-28 01:22:00,2019-03-28 22:47:00
Thursday,2019-04-18,1127,1252,1220,WN,Southwest Airlines Co.,130,N260WN,85,75,64,32,22,MCI,Kansas City International Airport,MDW,Chicago Midway International Airport,405,5,16,0,N,0,5,0,10,0,17,11,27,2019-04-18 11:27:00,4,11,MCI-MDW,2019-04-18 11:27:00,2019-04-18 12:52:00,2019-04-18 12:20:00
Thursday,2019-04-25,1546,1823,1741,US,US Airways Inc.,616,N644AW,157,166,141,42,51,SEA,Seattle-Tacoma International Airport,PHX,Phoenix Sky Harbor International Airport,1107,5,11,0,N,0,5,0,0,0,37,15,46,2019-04-25 15:46:00,4,15,SEA-PHX,2019-04-25 15:46:00,2019-04-25 18:23:00,2019-04-25 17:41:00
Saturday,2019-06-01,1349,2238,2213,UA,United Air Lines Inc.,852,N508UA,349,343,309,25,19,SFO,San Francisco International Airport,JFK,John F. Kennedy International Airport (New York International Airport),2586,20,20,0,N,0,0,0,25,0,0,13,49,2019-06-01 13:49:00,6,13,SFO-JFK,2019-06-01 13:49:00,2019-06-01 22:38:00,2019-06-01 22:13:00
